net,length_um
clknet_leaf_7_clk,70.48
_0767_,70.12
_0653_,69.72
_1104_,69.66
_1714_,69.555
u_core.u_regfile.rf\[28\]\[15\],68.3
_1632_,67.98
u_timer.count_reg\[8\],67.96
u_timer.count_reg\[14\],67.46
clknet_leaf_0_clk,67.28
_1125_,67.18
net20,67
_1686_,66.83
_1628_,66.65
_0800_,66.4
_1265_,66.38
_1700_,66.18
_1371_,66.13
u_pc.irq,65.95
_1631_,65.54
u_core.u_regfile.rf\[31\]\[23\],65.14
_1461_,65.065
u_timer.count_reg\[12\],65.04
_1397_,64.85
u_core.u_regfile.rf\[28\]\[17\],64.72
_1688_,64.52
_1209_,64.43
_1626_,64.34
_0869_,64.1
_1204_,64.1
_1458_,64.035
_1093_,64.02
_1277_,63.92
_0924_,63.72
_1396_,63.38
_0752_,62.84
_0668_,62.6
_1411_,62.32
_0973_,62.28
_1418_,62.28
clknet_leaf_39_clk,62.22
_1627_,62.09
u_timer.count_reg\[10\],62.06
_1633_,61.91
_1413_,61.36
_1693_,61.26
u_core.u_regfile.rf\[1\]\[19\],61.24
clknet_leaf_50_clk,60.5
u_core.u_regfile.rf\[6\]\[31\],60.4
net29,60.11
_1122_,59.4
clknet_leaf_20_clk,59.4
u_timer.count_reg\[9\],59.21
u_imem.addr\[3\],59.16
_0903_,59
_0911_,58.74
clknet_leaf_29_clk,58.46
_1451_,58.37
_0687_,58.08
u_core.u_regfile.rf\[31\]\[16\],57.84
u_core.u_regfile.rf\[6\]\[22\],57.78
clknet_leaf_4_clk,57.74
_1206_,57.555
u_core.u_regfile.rf\[31\]\[21\],57.08
_0684_,56.38
_1152_,56.38
_0814_,55.88
u_core.u_regfile.rf\[28\]\[14\],55.86
_0871_,55.62
_1268_,55.495
u_timer.count_reg\[24\],55.08
_1695_,55.01
net564,54.88
clknet_leaf_16_clk,54.8
_1681_,54.72
u_audio.s_axi_bvalid,54.68
_0766_,54.67
_0686_,54.42
_0963_,54.3
_1073_,54.21
u_core.u_regfile.rf\[31\]\[7\],53.96
_0749_,53.92
_1360_,53.78
_2067_,53.73
net31,53.69
net22,53.41
clknet_leaf_5_clk,53.4
_1419_,53.14
net25,53.11
u_core.u_regfile.rf\[6\]\[18\],52.84
_1694_,52.5
_0678_,52.36
u_timer.count_reg\[15\],52.28
_1202_,52.26
u_timer.count_reg\[13\],52.12
_1028_,52.04
_1452_,51.88
_1344_,51.77
_0753_,51.32
u_timer.count_reg\[26\],51.2
_0945_,51.15
u_timer.count_reg\[16\],51.13
u_core.u_regfile.rf\[31\]\[15\],50.96
u_core.u_regfile.rf\[31\]\[13\],50.86
_1042_,50.76
u_imem.addr\[4\],50.68
_0620_,50.66
_0992_,50.56
_1359_,50.28
u_timer.count_reg\[25\],49.895
_0856_,49.17
u_core.u_regfile.rf\[6\]\[30\],49
_1515_,48.92
_1270_,48.57
_1247_,48.46
_0890_,48.24
_1026_,48.08
_0968_,47.66
net12,47.66
_1092_,47.36
u_core.u_regfile.rf\[1\]\[16\],47.28
u_core.u_regfile.rf\[31\]\[11\],47.24
u_timer.count_reg\[28\],47.22
clknet_leaf_45_clk,46.64
u_core.u_regfile.rf\[28\]\[27\],46.52
_1309_,46.46
_1469_,46.18
_0993_,46.1
u_core.u_regfile.rf\[31\]\[12\],45.955
u_timer.count_reg\[27\],45.91
_1134_,45.75
_0842_,45.64
_0828_,45.6
_0941_,45.6
_0841_,45.52
_0787_,45.46
_1126_,45.38
_0621_,45.34
_0951_,45.34
u_core.u_regfile.rf\[31\]\[9\],45.22
u_core.u_regfile.rf\[6\]\[16\],44.98
_0970_,44.4
u_timer.count_reg\[1\],44.28
_1410_,44.24
u_timer.count_reg\[3\],44.09
_0755_,43.94
_0931_,43.94
u_timer.count_reg\[11\],43.86
_1307_,43.8
u_core.u_regfile.rf\[31\]\[0\],43.48
_0906_,43.2
_0967_,43.1
_1353_,43.1
_1389_,42.96
_1544_,42.96
_0860_,42.95
_1109_,42.66
u_core.u_regfile.rf\[7\]\[6\],42.56
_0609_,42.42
_1082_,42.42
_1465_,42.415
u_timer.count_reg\[22\],42.15
_0886_,42
u_core.u_regfile.rf\[4\]\[2\],42
u_core.u_regfile.rf\[31\]\[10\],41.82
