net,length_um
_1356_,12.48
_1408_,12.42
_1232_,12.39
u_core.u_regfile.rf\[4\]\[0\],12.38
_1225_,12.36
net391,12.34
net377,12.3
_1252_,12.26
u_core.u_regfile.rf\[29\]\[3\],12.26
_1343_,12.24
net126,12.24
_0873_,12.22
u_core.u_regfile.rf\[2\]\[8\],12.22
u_core.u_regfile.rf\[1\]\[12\],12.215
_0404_,12.205
_0420_,12.205
_0972_,12.2
_1140_,12.2
_0981_,12.18
_0099_,12.165
_0380_,12.165
_1808_,12.16
net125,12.16
_2094_,12.14
_2035_,12.12
u_core.u_regfile.rf\[29\]\[25\],12.12
u_core.u_regfile.rf\[6\]\[17\],12.12
net422,12.12
_1551_,12.08
net420,12.08
net515,12.08
_1153_,12.04
_2074_,12.04
_2052_,12.02
u_core.u_regfile.rf\[29\]\[4\],12
u_core.u_regfile.rf\[4\]\[31\],12
_0107_,11.98
_0394_,11.98
_1002_,11.98
_1422_,11.98
net511,11.98
_1675_,11.96
net389,11.96
_1506_,11.94
_1592_,11.94
_1773_,11.94
_0607_,11.925
_2111_,11.92
u_core.u_regfile.rf\[28\]\[5\],11.88
net16,11.86
_1124_,11.84
u_core.u_regfile.rf\[1\]\[14\],11.84
_1040_,11.82
_1352_,11.8
_1068_,11.78
u_core.u_regfile.rf\[1\]\[3\],11.78
net113,11.78
net530,11.78
net557,11.78
_1746_,11.76
u_core.u_regfile.rf\[5\]\[6\],11.76
_1453_,11.75
_1172_,11.74
_1881_,11.74
_0263_,11.725
_1145_,11.72
_1295_,11.72
net534,11.72
_0926_,11.7
_1072_,11.7
_1607_,11.7
_1938_,11.7
u_core.u_regfile.rf\[4\]\[22\],11.7
net77,11.7
_1882_,11.68
_2011_,11.68
u_core.u_regfile.rf\[7\]\[9\],11.66
_0556_,11.645
_0975_,11.645
_0571_,11.615
_2087_,11.6
_0096_,11.585
_1497_,11.58
_1898_,11.58
_1998_,11.58
u_core.u_regfile.rf\[6\]\[2\],11.58
net439,11.58
_0114_,11.565
_1945_,11.54
_0314_,11.505
_0763_,11.5
_0801_,11.5
net35,11.5
_1159_,11.49
_0109_,11.485
_0123_,11.48
_1070_,11.48
_0918_,11.47
_0865_,11.46
_0471_,11.425
_0522_,11.425
_0665_,11.42
_1384_,11.42
u_core.u_regfile.rf\[4\]\[18\],11.42
u_core.u_regfile.rf\[7\]\[13\],11.42
_0578_,11.36
u_core.u_regfile.rf\[3\]\[23\],11.36
_0610_,11.34
_1007_,11.34
_1867_,11.34
_1466_,11.32
net265,11.32
_1436_,11.3
_0098_,11.285
_0408_,11.285
_1447_,11.28
_0055_,11.245
_0154_,11.245
_0244_,11.245
_0029_,11.24
_1120_,11.24
_1744_,11.24
_1767_,11.24
net434,11.24
net489,11.24
_1609_,11.22
_0185_,11.2
_1229_,11.2
_1611_,11.2
net47,11.2
net424,11.2
_1379_,11.18
_1409_,11.18
_1756_,11.16
_0791_,11.14
_1687_,11.12
_0252_,11.1
_0985_,11.09
_0110_,11.085
_1148_,11.08
_1579_,11.04
_0219_,11.02
_1117_,11.02
_1503_,11.02
gpio_pins[1],11
gpio_pins[6],11
gpio_pins[7],11
u_core.u_regfile.rf\[4\]\[24\],10.98
u_core.u_regfile.rf\[5\]\[1\],10.98
_1345_,10.97
_0121_,10.965
_0598_,10.96
_1121_,10.92
_2046_,10.9
_1083_,10.88
_1654_,10.86
_2047_,10.86
_2060_,10.86
net374,10.86
_0056_,10.825
_0310_,10.825
_0354_,10.825
net363,10.82
_0798_,10.8
_0679_,10.78
_1984_,10.78
_0949_,10.76
u_timer.threshold_reg\[13\],10.76
_1160_,10.74
_1387_,10.74
net129,10.74
_0457_,10.725
u_core.u_regfile.rf\[7\]\[16\],10.72
_0069_,10.715
_0608_,10.705
net118,10.7
_0419_,10.685
_0028_,10.66
_0875_,10.66
_1029_,10.66
_1887_,10.66
_2106_,10.66
u_core.u_regfile.rf\[29\]\[22\],10.66
_0142_,10.64
net474,10.62
_1879_,10.58
u_core.u_regfile.rf\[28\]\[10\],10.58
_1982_,10.56
_0216_,10.525
_0027_,10.52
_0167_,10.505
_0486_,10.495
_0287_,10.465
_0672_,10.46
net370,10.46
net507,10.46
_1986_,10.44
_1990_,10.44
u_core.u_regfile.rf\[4\]\[1\],10.44
net225,10.44
net300,10.44
u_core.u_regfile.rf\[31\]\[4\],10.43
_1568_,10.42
_1616_,10.4
_1840_,10.4
_1987_,10.4
u_core.u_regfile.rf\[29\]\[14\],10.4
net388,10.4
net428,10.4
_0322_,10.385
net542,10.38
net253,10.36
_1757_,10.34
_1347_,10.32
_1891_,10.32
_2003_,10.32
net46,10.32
net166,10.32
_0623_,10.28
_1743_,10.28
_1819_,10.28
_2065_,10.28
net372,10.28
_0155_,10.245
_0255_,10.245
_1771_,10.24
_2088_,10.24
_2107_,10.24
u_core.u_regfile.rf\[29\]\[9\],10.24
net119,10.24
net254,10.24
_0160_,10.225
_1463_,10.22
_0194_,10.2
_0595_,10.2
_0995_,10.2
_1496_,10.2
_1709_,10.2
_1963_,10.2
net298,10.18
_0585_,10.16
u_core.u_regfile.rf\[4\]\[23\],10.16
u_core.u_regfile.rf\[4\]\[30\],10.16
u_core.u_regfile.rf\[6\]\[11\],10.14
_0093_,10.125
_1130_,10.115
_0220_,10.105
_1108_,10.1
net458,10.08
_0323_,10.045
_0349_,10.045
_1006_,10.04
_1403_,10.04
net468,10
net521,10
_0433_,9.985
_1865_,9.98
net139,9.98
net218,9.98
_0004_,9.97
_0213_,9.945
_0259_,9.945
_0619_,9.94
_1240_,9.94
net281,9.94
_1573_,9.92
u_core.u_regfile.rf\[5\]\[29\],9.92
_1045_,9.91
_0887_,9.9
_1838_,9.9
_1892_,9.9
_1390_,9.895
_0251_,9.885
_1321_,9.88
_1342_,9.88
_1550_,9.88
_1650_,9.88
_1800_,9.88
_1988_,9.88
_2014_,9.88
gpio_pins[2],9.88
_0677_,9.86
_0946_,9.86
_1833_,9.86
_1842_,9.86
_1907_,9.86
_1920_,9.86
_2001_,9.86
_2029_,9.86
_2086_,9.86
_2104_,9.86
net494,9.86
_0976_,9.85
_0112_,9.845
_0246_,9.825
_1476_,9.82
_1758_,9.82
u_core.u_regfile.rf\[7\]\[29\],9.82
_1821_,9.8
_0320_,9.785
net239,9.76
net532,9.76
_1947_,9.74
u_core.u_regfile.rf\[7\]\[21\],9.72
_0156_,9.705
_0267_,9.705
u_core.u_regfile.rf\[28\]\[12\],9.7
u_core.u_regfile.rf\[5\]\[26\],9.7
u_core.u_regfile.rf\[1\]\[25\],9.665
_1710_,9.66
_0474_,9.645
_1062_,9.64
_1187_,9.62
_1474_,9.62
net418,9.62
_0379_,9.605
_0434_,9.605
_1269_,9.595
_0935_,9.58
_1292_,9.58
_1575_,9.58
net124,9.58
_0656_,9.55
u_core.u_regfile.rf\[5\]\[7\],9.53
_0870_,9.52
_1797_,9.52
_1845_,9.52
_1916_,9.52
_1983_,9.52
_1989_,9.52
_2013_,9.52
_2025_,9.52
_2084_,9.52
net403,9.52
_0095_,9.505
_0831_,9.5
_1144_,9.5
_0033_,9.48
_1241_,9.48
_2082_,9.48
net409,9.48
_0583_,9.46
_1025_,9.46
_1254_,9.46
_0270_,9.445
_0465_,9.445
_1372_,9.44
_1440_,9.44
_0076_,9.405
_0402_,9.405
_0198_,9.4
net169,9.4
_1977_,9.38
net397,9.38
net453,9.36
net522,9.36
_1729_,9.34
_1902_,9.34
u_core.u_regfile.rf\[4\]\[29\],9.34
_1167_,9.3
_1955_,9.3
_0331_,9.285
_1772_,9.28
u_core.u_regfile.rf\[4\]\[17\],9.28
_0397_,9.245
net112,9.24
_0159_,9.205
_0087_,9.2
_1543_,9.2
_0364_,9.185
_0542_,9.185
_0591_,9.16
u_core.u_regfile.rf\[28\]\[4\],9.16
u_core.u_regfile.rf\[1\]\[5\],9.135
_1508_,9.12
_1540_,9.12
u_core.u_regfile.rf\[1\]\[23\],9.12
u_core.u_regfile.rf\[1\]\[31\],9.12
_0153_,9.105
_0507_,9.105
_0521_,9.105
_0201_,9.1
_0905_,9.1
net62,9.08
net526,9.08
_0520_,9.065
_1069_,9.06
_1591_,9.06
_2019_,9.06
_2101_,9.06
u_core.u_regfile.rf\[27\]\[25\],9.06
net274,9.06
_1334_,9.04
_0217_,9.025
_0557_,9.025
_0587_,9.02
_0999_,9.02
_1149_,9.02
_1884_,9.02
_1890_,9.02
net350,9.02
net413,9.02
u_core.u_regfile.rf\[28\]\[31\],9
_0352_,8.985
_0491_,8.985
_0192_,8.98
net183,8.98
net394,8.98
_1306_,8.96
_1598_,8.96
_1943_,8.96
gpio_pins[5],8.96
_0149_,8.945
_1866_,8.94
u_core.u_regfile.rf\[29\]\[18\],8.94
net286,8.94
net336,8.94
net359,8.94
net361,8.94
net425,8.94
_0477_,8.905
_1603_,8.9
_2075_,8.9
u_core.u_regfile.rf\[29\]\[28\],8.9
net175,8.9
net321,8.9
_0417_,8.885
_1912_,8.88
_0448_,8.865
_1089_,8.86
u_core.u_regfile.rf\[28\]\[2\],8.78
_0333_,8.765
_0555_,8.76
_0296_,8.745
_0161_,8.74
u_core.u_regfile.rf\[28\]\[11\],8.74
_0079_,8.725
net558,8.72
_0008_,8.7
_0573_,8.7
_0843_,8.7
net66,8.7
_0413_,8.665
_0719_,8.66
u_core.u_regfile.rf\[28\]\[0\],8.66
_0324_,8.645
u_core.u_regfile.rf\[5\]\[22\],8.62
net101,8.62
net415,8.62
_0956_,8.6
_1642_,8.6
_1878_,8.6
_2009_,8.6
u_core.u_regfile.rf\[24\]\[2\],8.6
net50,8.6
net57,8.6
net123,8.6
net417,8.6
net465,8.6
net523,8.6
_1811_,8.58
_1869_,8.56
u_core.u_regfile.rf\[31\]\[3\],8.56
u_timer.threshold_reg\[8\],8.56
net52,8.56
net215,8.56
u_core.u_regfile.rf\[5\]\[0\],8.555
_0328_,8.525
_0516_,8.525
_1021_,8.52
_1613_,8.52
_0339_,8.505
_1933_,8.5
u_core.u_regfile.rf\[26\]\[10\],8.5
_0117_,8.485
_0332_,8.485
_0399_,8.485
_1595_,8.48
_1951_,8.48
net134,8.48
_0615_,8.46
u_core.u_regfile.rf\[5\]\[4\],8.46
_1721_,8.44
_2010_,8.44
net121,8.44
net168,8.44
_0366_,8.42
u_core.u_regfile.rf\[28\]\[16\],8.42
u_core.u_regfile.rf\[7\]\[10\],8.42
u_timer.count_reg\[31\],8.415
_0777_,8.4
_0804_,8.4
_1664_,8.4
net86,8.4
_0929_,8.38
_0067_,8.325
_0680_,8.32
_0172_,8.265
_0936_,8.24
_0226_,8.225
_0003_,8.22
_1690_,8.22
u_core.u_regfile.rf\[4\]\[7\],8.2
_0085_,8.185
_0961_,8.18
_0567_,8.16
_1259_,8.16
_1182_,8.14
u_core.u_regfile.rf\[27\]\[27\],8.14
u_core.u_regfile.rf\[2\]\[9\],8.14
net144,8.14
net216,8.14
net278,8.14
net310,8.14
net368,8.14
net481,8.14
_1061_,8.12
_1166_,8.12
_1978_,8.12
u_core.u_regfile.rf\[24\]\[13\],8.12
u_core.u_regfile.rf\[2\]\[27\],8.12
_0947_,8.1
_1035_,8.1
_1036_,8.1
_1380_,8.1
_1788_,8.1
_1815_,8.1
u_core.u_regfile.rf\[25\]\[8\],8.1
net311,8.1
net538,8.1
_0023_,8.08
_0406_,8.08
_0090_,8.065
_0409_,8.065
_0495_,8.065
_0564_,8.065
_0764_,8.06
_1948_,8.06
_2089_,8.06
net227,8.06
_1944_,8.04
_0427_,8.025
_0940_,8.02
_2022_,8.02
u_core.u_regfile.rf\[25\]\[3\],8.02
u_core.u_regfile.rf\[29\]\[17\],8.02
u_core.u_regfile.rf\[4\]\[6\],8.02
net249,8.02
net487,8.02
net503,8.02
_0064_,8.005
_0592_,8
_2068_,8
_0527_,7.98
net44,7.98
net496,7.98
net528,7.98
_1784_,7.96
_0148_,7.945
_0455_,7.945
_1754_,7.94
_1774_,7.94
_2053_,7.94
u_core.u_regfile.rf\[1\]\[15\],7.915
_1437_,7.9
_1844_,7.9
_2085_,7.9
_2105_,7.9
u_core.u_regfile.rf\[28\]\[13\],7.9
_0312_,7.88
_0807_,7.88
u_timer.threshold_reg\[9\],7.88
_0210_,7.865
u_core.u_regfile.rf\[28\]\[18\],7.86
_0388_,7.845
_0479_,7.845
net436,7.82
_0083_,7.805
_0566_,7.805
_0195_,7.78
net393,7.78
_0034_,7.76
_0063_,7.745
_0586_,7.74
u_core.u_regfile.rf\[28\]\[6\],7.74
_0227_,7.725
_0461_,7.705
_0568_,7.7
net149,7.7
_0146_,7.685
_1333_,7.68
u_core.u_regfile.rf\[24\]\[3\],7.68
u_core.u_regfile.rf\[27\]\[1\],7.68
u_core.u_regfile.rf\[30\]\[1\],7.68
net202,7.68
net488,7.68
net514,7.68
_1588_,7.66
u_core.u_regfile.rf\[4\]\[28\],7.66
_1605_,7.64
_1873_,7.64
_2099_,7.64
u_core.u_regfile.rf\[1\]\[2\],7.64
net502,7.64
net550,7.64
_0257_,7.605
_1747_,7.6
u_timer.threshold_reg\[31\],7.6
_2069_,7.58
_0126_,7.565
_0526_,7.565
_1184_,7.56
_1643_,7.56
_1718_,7.56
net142,7.56
net395,7.56
net540,7.56
net562,7.56
_1341_,7.54
net43,7.54
_1001_,7.52
_1095_,7.52
_1262_,7.52
_1557_,7.52
_1732_,7.52
_1918_,7.52
_2066_,7.52
net365,7.52
net412,7.52
_1952_,7.5
_0116_,7.48
u_core.u_regfile.rf\[7\]\[25\],7.46
u_core.u_regfile.rf\[2\]\[7\],7.44
net457,7.44
_1520_,7.4
u_core.u_regfile.rf\[7\]\[28\],7.4
_0376_,7.385
_0442_,7.385
_0460_,7.385
_0483_,7.385
net164,7.36
net533,7.36
_0223_,7.345
_0367_,7.345
_0025_,7.34
_1016_,7.34
net14,7.34
_0059_,7.32
net381,7.32
_0396_,7.315
_0184_,7.3
_0174_,7.245
net174,7.24
net464,7.24
net553,7.24
_0139_,7.225
_0196_,7.22
_1110_,7.22
_1282_,7.22
_1733_,7.22
u_core.u_regfile.rf\[25\]\[15\],7.22
u_core.u_regfile.rf\[25\]\[4\],7.22
u_core.u_regfile.rf\[29\]\[19\],7.22
u_core.u_regfile.rf\[3\]\[31\],7.22
net60,7.22
net110,7.22
net214,7.22
net244,7.22
net258,7.22
net437,7.22
net462,7.22
_0205_,7.2
_1239_,7.2
_1760_,7.2
_1949_,7.2
_1438_,7.18
_1439_,7.18
u_core.u_regfile.rf\[25\]\[6\],7.18
u_core.u_regfile.rf\[4\]\[21\],7.18
u_timer.threshold_reg\[7\],7.18
net78,7.18
net106,7.18
net264,7.18
net500,7.18
_0288_,7.165
_0133_,7.145
_0291_,7.145
_0308_,7.145
_1431_,7.14
_1517_,7.14
_2042_,7.14
_2078_,7.14
_0508_,7.135
_1663_,7.12
_1850_,7.12
_0131_,7.105
_0412_,7.105
_0822_,7.1
_1170_,7.1
_1534_,7.1
_1576_,7.1
_1999_,7.1
_2079_,7.1
u_core.u_regfile.rf\[1\]\[29\],7.1
net147,7.1
net211,7.1
_0052_,7.085
_0497_,7.085
_1608_,7.08
u_core.u_regfile.rf\[5\]\[5\],7.08
_0835_,7.06
_0997_,7.06
_1426_,7.06
_2058_,7.06
net15,7.06
net493,7.06
_0230_,7.045
_0089_,7.025
_0405_,7.015
_1738_,7
_2015_,6.98
_2080_,6.98
net452,6.98
_0523_,6.925
net102,6.9
net524,6.9
_0103_,6.885
_0431_,6.885
_0048_,6.88
_0681_,6.88
_2112_,6.88
_0675_,6.86
u_core.u_regfile.rf\[7\]\[1\],6.86
_1547_,6.84
_0256_,6.825
_0505_,6.825
_1289_,6.79
_0363_,6.785
_0415_,6.785
_1560_,6.78
u_core.u_regfile.rf\[27\]\[17\],6.78
net79,6.78
net96,6.78
net444,6.78
net460,6.78
rst_n,6.77
_1180_,6.76
_1199_,6.76
u_core.u_regfile.rf\[27\]\[4\],6.76
net75,6.76
net83,6.76
net246,6.76
net287,6.76
net324,6.76
net353,6.76
net387,6.76
net398,6.76
net411,6.76
net510,6.76
net535,6.76
net556,6.76
_0882_,6.72
_1622_,6.72
_1652_,6.72
_1657_,6.72
_1801_,6.72
_1823_,6.72
_1928_,6.72
_1992_,6.72
net475,6.72
net480,6.72
_0368_,6.705
_0447_,6.705
_1017_,6.7
_1179_,6.7
u_core.u_regfile.rf\[4\]\[16\],6.7
_0546_,6.695
_0157_,6.685
_0385_,6.685
_1820_,6.66
_1940_,6.66
u_core.u_regfile.rf\[4\]\[25\],6.66
net117,6.66
_0235_,6.645
_0436_,6.645
_0837_,6.64
u_core.u_regfile.rf\[24\]\[27\],6.64
net56,6.64
net383,6.64
net445,6.64
net459,6.64
u_core.u_regfile.rf\[24\]\[16\],6.62
net456,6.62
_0105_,6.605
_0655_,6.605
_0852_,6.6
_0934_,6.6
_2030_,6.6
net333,6.6
_0342_,6.565
_0355_,6.54
_0392_,6.525
net356,6.52
_0360_,6.5
_0596_,6.5
_1596_,6.5
_0019_,6.48
u_core.u_regfile.rf\[5\]\[28\],6.48
_0463_,6.465
_0504_,6.465
net107,6.44
_0467_,6.425
_0031_,6.42
_0530_,6.42
_0175_,6.4
_1077_,6.4
_1535_,6.4
_1814_,6.4
net53,6.4
_0039_,6.38
_1219_,6.38
_0065_,6.365
_0120_,6.365
_0144_,6.365
_0294_,6.365
_0371_,6.365
_0377_,6.365
_0398_,6.365
_0469_,6.365
_0506_,6.365
_1556_,6.36
u_core.u_regfile.rf\[5\]\[30\],6.36
_1043_,6.35
_0068_,6.345
_0171_,6.325
_1880_,6.32
net248,6.32
net257,6.32
net327,6.32
_1638_,6.3
_1860_,6.3
_1960_,6.3
u_core.u_regfile.rf\[24\]\[23\],6.3
u_core.u_regfile.rf\[25\]\[14\],6.3
u_core.u_regfile.rf\[26\]\[17\],6.3
u_core.u_regfile.rf\[27\]\[23\],6.3
u_core.u_regfile.rf\[29\]\[15\],6.3
net108,6.3
net305,6.3
net307,6.3
net334,6.3
net373,6.3
net449,6.3
net477,6.3
_1398_,6.28
u_timer.threshold_reg\[23\],6.28
_1031_,6.26
_1034_,6.26
_1335_,6.26
_1511_,6.26
_1755_,6.26
u_core.u_regfile.rf\[25\]\[17\],6.26
u_core.u_regfile.rf\[25\]\[23\],6.26
u_core.u_regfile.rf\[30\]\[27\],6.26
net99,6.26
net283,6.26
_0241_,6.255
_0182_,6.24
_0318_,6.225
_0538_,6.225
_0335_,6.205
_1602_,6.2
_1619_,6.2
_1872_,6.2
_1932_,6.2
_1995_,6.2
_2023_,6.2
u_core.u_regfile.rf\[29\]\[1\],6.2
u_core.u_regfile.rf\[4\]\[3\],6.2
net364,6.2
net442,6.2
_0234_,6.185
_0289_,6.185
_0303_,6.185
_0440_,6.185
_0552_,6.185
_1256_,6.18
_1407_,6.18
_1578_,6.18
_1763_,6.18
_1765_,6.18
u_core.u_regfile.rf\[7\]\[27\],6.18
net70,6.18
net92,6.18
net115,6.18
net141,6.18
net497,6.18
net505,6.18
_0258_,6.16
_0955_,6.14
_1097_,6.14
_1193_,6.14
_1386_,6.14
_1783_,6.14
_1805_,6.14
_1966_,6.14
net322,6.14
net386,6.14
net463,6.14
_0369_,6.105
_0501_,6.105
_0049_,6.08
net482,6.08
u_core.u_regfile.rf\[1\]\[11\],6.075
_0170_,6.065
_0648_,6.06
_1331_,6.06
_1553_,6.06
_1558_,6.06
_1906_,6.06
u_core.u_regfile.rf\[1\]\[1\],6.06
_0514_,6.04
_0145_,6.025
u_core.u_regfile.rf\[7\]\[30\],6.025
_1656_,6.02
_0321_,6.005
_0330_,6.005
_0334_,6.005
_0509_,6.005
_0682_,5.98
_0868_,5.98
_1459_,5.98
net272,5.98
net299,5.98
net312,5.98
net323,5.98
net520,5.96
_0088_,5.945
_1296_,5.92
_1103_,5.86
net392,5.86
net435,5.86
net537,5.86
_0272_,5.845
_0200_,5.84
_0930_,5.84
_1105_,5.84
_1194_,5.84
_1273_,5.84
_1524_,5.84
_1954_,5.84
u_core.u_regfile.rf\[25\]\[26\],5.84
u_core.u_regfile.rf\[26\]\[18\],5.84
u_core.u_regfile.rf\[2\]\[24\],5.84
u_core.u_regfile.rf\[2\]\[5\],5.84
u_timer.threshold_reg\[5\],5.84
net181,5.84
net222,5.84
net331,5.84
net529,5.84
net548,5.84
net551,5.84
_0572_,5.83
_0151_,5.825
_0629_,5.82
net461,5.82
_0346_,5.805
_1897_,5.8
_1926_,5.8
u_core.u_regfile.rf\[2\]\[28\],5.8
u_core.u_regfile.rf\[30\]\[2\],5.8
u_core.u_regfile.rf\[30\]\[8\],5.8
u_core.u_regfile.rf\[4\]\[4\],5.8
net198,5.8
net379,5.8
net390,5.8
net402,5.8
u_core.u_regfile.rf\[25\]\[12\],5.78
_0215_,5.765
_0428_,5.765
_0348_,5.74
_1080_,5.74
_1825_,5.74
_1827_,5.74
_1857_,5.74
net357,5.74
_0825_,5.72
_1802_,5.72
_1809_,5.72
_1818_,5.72
_1853_,5.72
_1871_,5.72
_1905_,5.72
_1930_,5.72
_1979_,5.72
_2038_,5.72
_2044_,5.72
net48,5.72
net59,5.72
net226,5.72
_1281_,5.7
_0430_,5.695
_1137_,5.68
_1572_,5.68
_1574_,5.68
_1594_,5.68
_1780_,5.68
_1803_,5.68
_2024_,5.68
net82,5.68
net416,5.68
net473,5.68
_0390_,5.665
_1358_,5.665
_0336_,5.645
_0208_,5.62
_0245_,5.62
u_core.u_regfile.rf\[7\]\[23\],5.6
_0080_,5.555
_0411_,5.545
_0484_,5.545
u_core.u_regfile.rf\[1\]\[4\],5.545
_1374_,5.53
audio_out,5.53
_1499_,5.52
_1523_,5.52
net67,5.52
net332,5.52
net408,5.52
net499,5.52
net555,5.52
_0158_,5.505
_0304_,5.505
_1075_,5.5
net326,5.5
_0040_,5.48
u_core.u_regfile.rf\[6\]\[13\],5.48
_0519_,5.475
_0224_,5.465
_0570_,5.46
_0632_,5.46
_1286_,5.46
_1719_,5.4
net37,5.4
net63,5.4
net137,5.4
net247,5.4
net338,5.4
net344,5.4
net352,5.4
net369,5.4
net384,5.4
net472,5.4
net486,5.4
net547,5.4
net552,5.4
net561,5.4
_0176_,5.38
_0630_,5.38
_0647_,5.38
_0969_,5.38
_1024_,5.38
_1064_,5.38
_1425_,5.38
_1501_,5.38
_1810_,5.38
_1816_,5.38
_1829_,5.38
_1864_,5.38
_1921_,5.38
_1946_,5.38
_1956_,5.38
_1975_,5.38
_1993_,5.38
_2018_,5.38
_2100_,5.38
u_core.u_regfile.rf\[26\]\[25\],5.38
u_core.u_regfile.rf\[27\]\[0\],5.38
u_core.u_regfile.rf\[30\]\[4\],5.38
net491,5.38
net518,5.38
net541,5.38
_1099_,5.36
_1365_,5.36
u_core.u_regfile.rf\[29\]\[29\],5.36
_0240_,5.345
_0357_,5.345
_0554_,5.345
_0203_,5.34
_0784_,5.34
_1782_,5.34
_2073_,5.34
u_core.u_regfile.rf\[2\]\[13\],5.34
u_core.u_regfile.rf\[30\]\[10\],5.34
u_core.u_regfile.rf\[3\]\[7\],5.34
net478,5.34
_0281_,5.315
_0168_,5.305
_0264_,5.305
_0359_,5.305
_0489_,5.305
_0502_,5.305
_0503_,5.305
u_core.u_regfile.rf\[28\]\[3\],5.3
gpio_pins[4],5.29
_1290_,5.28
_1326_,5.28
_1836_,5.28
_1924_,5.28
_2031_,5.28
u_core.u_regfile.rf\[6\]\[7\],5.28
_1651_,5.26
_1835_,5.26
_1931_,5.26
_1997_,5.26
net17,5.26
net114,5.26
net219,5.26
net221,5.26
net329,5.26
net427,5.26
net498,5.26
net546,5.26
_0163_,5.24
_1571_,5.22
_1776_,5.22
_1874_,5.22
_1888_,5.22
net93,5.22
_0311_,5.18
_0305_,5.16
_0481_,5.16
_0817_,5.16
_1067_,5.16
_1327_,5.16
_0932_,5.14
_1521_,5.14
_1855_,5.14
_1901_,5.14
_1968_,5.14
u_core.u_regfile.rf\[5\]\[3\],5.14
_0644_,5.12
_0104_,5.085
_0358_,5.065
_0689_,5.06
net36,5.06
net495,5.06
net549,5.06
_0070_,5.045
_0135_,5.045
_0012_,5.04
_0193_,5.04
_1655_,5.04
net469,5.04
_0075_,4.965
u_core.u_regfile.rf\[4\]\[19\],4.94
net54,4.94
net132,4.94
net152,4.94
net155,4.94
net172,4.94
net455,4.94
net563,4.94
_0017_,4.92
_1258_,4.92
_1382_,4.92
_1599_,4.92
_1615_,4.92
_1641_,4.92
_1653_,4.92
_1885_,4.92
_2097_,4.92
u_core.u_regfile.rf\[25\]\[9\],4.92
u_core.u_regfile.rf\[30\]\[21\],4.92
net208,4.92
net273,4.92
net414,4.92
net421,4.92
_0162_,4.905
_0166_,4.905
_0853_,4.905
_1433_,4.9
_2048_,4.9
u_core.u_regfile.rf\[1\]\[26\],4.9
_1316_,4.88
_1768_,4.88
_1769_,4.88
_1804_,4.88
_1904_,4.88
_1915_,4.88
_2072_,4.88
u_core.u_regfile.rf\[3\]\[10\],4.88
u_core.u_regfile.rf\[3\]\[20\],4.88
u_core.u_regfile.rf\[3\]\[27\],4.88
u_timer.threshold_reg\[0\],4.88
gpio_pins[3],4.85
_0100_,4.845
_0102_,4.845
_0221_,4.845
_0302_,4.845
_0375_,4.845
_0472_,4.845
_0164_,4.84
_0115_,4.835
_0231_,4.82
_2050_,4.82
_2083_,4.82
u_core.u_regfile.rf\[25\]\[22\],4.82
u_core.u_regfile.rf\[25\]\[7\],4.82
u_core.u_regfile.rf\[6\]\[23\],4.82
net192,4.82
_0122_,4.805
_0361_,4.805
_1164_,4.8
_1196_,4.8
_1210_,4.8
_1580_,4.8
_1707_,4.8
_1961_,4.8
_2055_,4.8
_2102_,4.8
u_core.u_regfile.rf\[30\]\[23\],4.8
net153,4.8
net179,4.8
net234,4.8
net277,4.8
net288,4.8
net325,4.8
net337,4.8
net539,4.8
_0074_,4.785
_0113_,4.785
_0445_,4.785
net501,4.78
_1475_,4.76
_1581_,4.76
_1660_,4.76
net223,4.76
net320,4.76
net358,4.76
u_core.u_regfile.rf\[1\]\[27\],4.725
_0138_,4.7
_0401_,4.695
_0046_,4.68
_1143_,4.68
_0300_,4.635
_0393_,4.625
_0515_,4.625
_0540_,4.625
_1015_,4.6
u_timer.threshold_reg\[30\],4.6
net51,4.6
net173,4.6
net342,4.6
net517,4.6
_0084_,4.585
_0150_,4.585
_1787_,4.58
_0020_,4.54
_0202_,4.54
_0533_,4.54
_0708_,4.48
_0795_,4.48
_1168_,4.48
u_core.u_regfile.rf\[2\]\[18\],4.48
net58,4.48
net94,4.48
net140,4.48
net185,4.48
net191,4.48
net291,4.48
net375,4.48
net396,4.48
net450,4.48
_0181_,4.46
_0649_,4.46
_0832_,4.46
_1283_,4.46
_1310_,4.46
_1322_,4.46
_1593_,4.46
_1639_,4.46
_1834_,4.46
_1883_,4.46
_1893_,4.46
u_audio.sample_reg\[5\],4.46
u_core.u_regfile.rf\[24\]\[11\],4.46
u_core.u_regfile.rf\[26\]\[2\],4.46
u_core.u_regfile.rf\[27\]\[11\],4.46
u_core.u_regfile.rf\[29\]\[27\],4.46
u_core.u_regfile.rf\[2\]\[21\],4.46
u_core.u_regfile.rf\[5\]\[27\],4.46
net148,4.46
net165,4.46
net186,4.46
net188,4.46
net200,4.46
net203,4.46
net229,4.46
net231,4.46
net232,4.46
net240,4.46
net243,4.46
net266,4.46
net269,4.46
net282,4.46
net289,4.46
net290,4.46
net346,4.46
net355,4.46
net378,4.46
net382,4.46
net400,4.46
net401,4.46
net423,4.46
net467,4.46
net544,4.46
_0356_,4.445
_1974_,4.44
u_core.u_regfile.rf\[28\]\[8\],4.44
u_core.u_regfile.rf\[7\]\[8\],4.44
u_timer.threshold_reg\[12\],4.44
